Freq.	V(n028)/i(V8)
2.19606851384615e+06	(5.22775317040767e+01dB,9.68021101209196e+01°)
2.20871484881009e+06	(5.22281174577319e+01dB,9.67751432189171e+01°)
2.22143400927424e+06	(5.21786983153158e+01dB,9.67483961035794e+01°)
2.23422641461335e+06	(5.21292743359736e+01dB,9.67218679533273e+01°)
2.24709248661718e+06	(5.20798455782473e+01dB,9.66955579527687e+01°)
2.26003264950442e+06	(5.20304121000628e+01dB,9.66694652926740e+01°)
2.27304732993669e+06	(5.19809739587392e+01dB,9.66435891699872e+01°)
2.28613695703258e+06	(5.19315312110177e+01dB,9.66179287878023e+01°)
2.29930196238182e+06	(5.18820839130356e+01dB,9.65924833553673e+01°)
2.31254278005949e+06	(5.18326321203647e+01dB,9.65672520880592e+01°)
2.32585984664038e+06	(5.17831758879966e+01dB,9.65422342073760e+01°)
2.33925360121331e+06	(5.17337152703546e+01dB,9.65174289409222e+01°)
2.35272448539567e+06	(5.16842503213131e+01dB,9.64928355224557e+01°)
2.36627294334795e+06	(5.16347810941856e+01dB,9.64684531917524e+01°)
2.37989942178840e+06	(5.15853076417375e+01dB,9.64442811947359e+01°)
2.39360437000776e+06	(5.15358300161988e+01dB,9.64203187833758e+01°)
2.40738823988405e+06	(5.14863482692687e+01dB,9.63965652156989e+01°)
2.42125148589749e+06	(5.14368624521140e+01dB,9.63730197557985e+01°)
2.43519456514549e+06	(5.13873726153846e+01dB,9.63496816738041e+01°)
2.44921793735771e+06	(5.13378788092163e+01dB,9.63265502458704e+01°)
2.46332206491121e+06	(5.12883810832386e+01dB,9.63036247541985e+01°)
2.47750741284572e+06	(5.12388794865732e+01dB,9.62809044869590e+01°)
2.49177444887896e+06	(5.11893740678576e+01dB,9.62583887383583e+01°)
2.50612364342204e+06	(5.11398648752287e+01dB,9.62360768085641e+01°)
2.52055546959501e+06	(5.10903519563451e+01dB,9.62139680037462e+01°)
2.53507040324244e+06	(5.10408353583848e+01dB,9.61920616360177e+01°)
2.54966892294911e+06	(5.09913151280656e+01dB,9.61703570234725e+01°)
2.56435151005578e+06	(5.09417913116230e+01dB,9.61488534901264e+01°)
2.57911864867508e+06	(5.08922639548444e+01dB,9.61275503659451e+01°)
2.59397082570747e+06	(5.08427331030592e+01dB,9.61064469868156e+01°)
2.60890853085726e+06	(5.07931988011488e+01dB,9.60855426945476e+01°)
2.62393225664882e+06	(5.07436610935560e+01dB,9.60648368368396e+01°)
2.63904249844276e+06	(5.06941200242732e+01dB,9.60443287672737e+01°)
2.65423975445229e+06	(5.06445756368779e+01dB,9.60240178453426e+01°)
2.66952452575964e+06	(5.05950279745115e+01dB,9.60039034363920e+01°)
2.68489731633259e+06	(5.05454770799018e+01dB,9.59839849116089e+01°)
2.70035863304108e+06	(5.04959229953461e+01dB,9.59642616480777e+01°)
2.71590898567393e+06	(5.04463657627483e+01dB,9.59447330286734e+01°)
2.73154888695563e+06	(5.03968054236035e+01dB,9.59253984421182e+01°)
2.74727885256327e+06	(5.03472420189970e+01dB,9.59062572829586e+01°)
2.76309940114352e+06	(5.02976755896384e+01dB,9.58873089515390e+01°)
2.77901105432976e+06	(5.02481061758309e+01dB,9.58685528539996e+01°)
2.79501433675923e+06	(5.01985338174999e+01dB,9.58499884022668e+01°)
2.81110977609038e+06	(5.01489585541974e+01dB,9.58316150140474e+01°)
2.82729790302026e+06	(5.00993804250887e+01dB,9.58134321127936e+01°)
2.84357925130197e+06	(5.00497994689801e+01dB,9.57954391277407e+01°)
2.85995435776233e+06	(5.00002157243166e+01dB,9.57776354938359e+01°)
2.87642376231952e+06	(4.99506292291674e+01dB,9.57600206517914e+01°)
2.89298800800092e+06	(4.99010400212675e+01dB,9.57425940480131e+01°)
2.90964764096099e+06	(4.98514481379904e+01dB,9.57253551346423e+01°)
2.92640321049930e+06	(4.98018536163637e+01dB,9.57083033695021e+01°)
2.94325526907861e+06	(4.97522564930786e+01dB,9.56914382161214e+01°)
2.96020437234313e+06	(4.97026568044917e+01dB,9.56747591437063e+01°)
2.97725107913682e+06	(4.96530545866293e+01dB,9.56582656271461e+01°)
2.99439595152177e+06	(4.96034498751855e+01dB,9.56419571469656e+01°)
3.01163955479683e+06	(4.95538427055367e+01dB,9.56258331893625e+01°)
3.02898245751616e+06	(4.95042331127395e+01dB,9.56098932461691e+01°)
3.04642523150802e+06	(4.94546211315422e+01dB,9.55941368148428e+01°)
3.06396845189360e+06	(4.94050067963841e+01dB,9.55785633984807e+01°)
3.08161269710603e+06	(4.93553901413916e+01dB,9.55631725057785e+01°)
3.09935854890939e+06	(4.93057712003998e+01dB,9.55479636510342e+01°)
3.11720659241793e+06	(4.92561500069518e+01dB,9.55329363541413e+01°)
3.13515741611535e+06	(4.92065265942883e+01dB,9.55180901405872e+01°)
